Size,RunIndex,CaseName,Tool,Sequence,Scenario,MetricValue,PhaseName,MetricName,Iteration
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12,BasicXform,14699800,M2MTransformation2,Memory,4
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12,BasicXform,46892728,M2MTransformation2,AverageMemory,4
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12,BasicXform,79105016,M2MTransformation2,PeakMemory,4
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13,BasicXform,188619,Modification,Time,5
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13,BasicXform,14699952,Modification,Memory,5
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14,BasicXform,54053204,M2MTransformation2,Time,5
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14,BasicXform,14707512,M2MTransformation2,Memory,5
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14,BasicXform,57650400,M2MTransformation2,PeakMemory,5
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14,BasicXform,46912976,M2MTransformation2,AverageMemory,5
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,BasicXform,243366,EMFResourceInitialization,Time,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,1,BasicXform,11284472,EMFResourceInitialization,Memory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,BasicXform,51047802,Generation,Time,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,2,BasicXform,13280928,Generation,Memory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,BasicXform,54633548,Initialization,Time,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,BasicXform,14372296,Initialization,Memory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,BasicXform,75821552,Initialization,PeakMemory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,3,BasicXform,54346700,Initialization,AverageMemory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,BasicXform,24159595,M2MTransformation1,Time,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,BasicXform,15472984,M2MTransformation1,Memory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,BasicXform,68060056,M2MTransformation1,PeakMemory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,4,BasicXform,51953912,M2MTransformation1,AverageMemory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,BasicXform,2776278,Modification,Time,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,5,BasicXform,15612152,Modification,Memory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,BasicXform,23616,M2MTransformation2,Time,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,BasicXform,15612992,M2MTransformation2,Memory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,BasicXform,37087800,M2MTransformation2,PeakMemory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,6,BasicXform,37087800,M2MTransformation2,AverageMemory,1
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,BasicXform,2131066,Modification,Time,2
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,7,BasicXform,15656752,Modification,Memory,2
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,BasicXform,20478,M2MTransformation2,Time,2
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,BasicXform,15657592,M2MTransformation2,Memory,2
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,BasicXform,26395096,M2MTransformation2,AverageMemory,2
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,8,BasicXform,37132400,M2MTransformation2,PeakMemory,2
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,BasicXform,2145256,Modification,Time,3
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,9,BasicXform,15704184,Modification,Memory,3
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,BasicXform,19906,M2MTransformation2,Time,3
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,BasicXform,15705024,M2MTransformation2,Memory,3
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,BasicXform,37179832,M2MTransformation2,PeakMemory,3
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,10,BasicXform,37179832,M2MTransformation2,AverageMemory,3
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,BasicXform,2260795,Modification,Time,4
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,11,BasicXform,15749320,Modification,Memory,4
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,BasicXform,25790,M2MTransformation2,Time,4
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,BasicXform,15750184,M2MTransformation2,Memory,4
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,BasicXform,37224992,M2MTransformation2,AverageMemory,4
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,12,BasicXform,37224992,M2MTransformation2,PeakMemory,4
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,BasicXform,2355781,Modification,Time,5
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,13,BasicXform,15792856,Modification,Memory,5
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,BasicXform,16743,M2MTransformation2,Time,5
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,BasicXform,15793696,M2MTransformation2,Memory,5
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,BasicXform,37268504,M2MTransformation2,PeakMemory,5
1,1,StatisticBasedCase,INCR_VIATRA_TRANSFORMATION-TEMPLATE,14,BasicXform,26531200,M2MTransformation2,AverageMemory,5
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform,323237,EMFResourceInitialization,Time,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,BasicXform,11180120,EMFResourceInitialization,Memory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform,47422285,Generation,Time,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,BasicXform,13217456,Generation,Memory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform,29826082,Initialization,Time,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform,13102528,Initialization,Memory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform,54242376,Initialization,PeakMemory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,BasicXform,32767520,Initialization,AverageMemory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform,11926041,M2MTransformation1,Time,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform,13967656,M2MTransformation1,Memory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform,34577960,M2MTransformation1,AverageMemory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,BasicXform,34577960,M2MTransformation1,PeakMemory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform,234658,Modification,Time,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,BasicXform,13978680,Modification,Memory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform,13860363,M2MTransformation2,Time,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform,13994832,M2MTransformation2,Memory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform,35454280,M2MTransformation2,AverageMemory,1
1,2,StatisticBasedCase,BATCH_VIATRA_QUERY_RETE-TEMPLATE,6,BasicXform,35454280,M2MTransformation2,PeakMemory,1
