Iteration,Sequence,Tool,Scenario,RunIndex,MetricValue,MetricName,PhaseName,CaseName,Size
3,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,58144552,PeakMemory,M2MTransformation2,StatisticBasedCase,4
3,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36669696,AverageMemory,M2MTransformation2,StatisticBasedCase,4
4,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,219575,Time,Modification,StatisticBasedCase,4
4,11,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15200872,Memory,Modification,StatisticBasedCase,4
4,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,40543898,Time,M2MTransformation2,StatisticBasedCase,4
4,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15332832,Memory,M2MTransformation2,StatisticBasedCase,4
4,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36676528,PeakMemory,M2MTransformation2,StatisticBasedCase,4
4,12,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36676528,AverageMemory,M2MTransformation2,StatisticBasedCase,4
5,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,189918,Time,Modification,StatisticBasedCase,4
5,13,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15334272,Memory,Modification,StatisticBasedCase,4
5,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36943081,Time,M2MTransformation2,StatisticBasedCase,4
5,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15343824,Memory,M2MTransformation2,StatisticBasedCase,4
5,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36809904,PeakMemory,M2MTransformation2,StatisticBasedCase,4
5,14,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36809904,AverageMemory,M2MTransformation2,StatisticBasedCase,4
1,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,216080,Time,EMFResourceInitialization,StatisticBasedCase,16
1,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,9393712,Memory,EMFResourceInitialization,StatisticBasedCase,16
1,2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,3698211975,Time,Generation,StatisticBasedCase,16
1,2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,99420480,Memory,Generation,StatisticBasedCase,16
1,3,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,15650,Time,Initialization,StatisticBasedCase,16
1,3,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,12114672,Memory,Initialization,StatisticBasedCase,16
1,3,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,53845536,PeakMemory,Initialization,StatisticBasedCase,16
1,3,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,32980204,AverageMemory,Initialization,StatisticBasedCase,16
1,4,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,30429695977,Time,M2MTransformation1,StatisticBasedCase,16
1,4,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,16013424,Memory,M2MTransformation1,StatisticBasedCase,16
1,4,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,3103638960,PeakMemory,M2MTransformation1,StatisticBasedCase,16
1,4,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,963127756,AverageMemory,M2MTransformation1,StatisticBasedCase,16
1,5,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,307023,Time,Modification,StatisticBasedCase,16
1,5,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,16013544,Memory,Modification,StatisticBasedCase,16
1,6,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,30405623351,Time,M2MTransformation2,StatisticBasedCase,16
1,6,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,17056240,Memory,M2MTransformation2,StatisticBasedCase,16
1,6,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,3052823696,PeakMemory,M2MTransformation2,StatisticBasedCase,16
1,6,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,1036286909,AverageMemory,M2MTransformation2,StatisticBasedCase,16
2,7,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,207460,Time,Modification,StatisticBasedCase,16
2,7,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,17056328,Memory,Modification,StatisticBasedCase,16
2,8,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,30738338036,Time,M2MTransformation2,StatisticBasedCase,16
2,8,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,18002168,Memory,M2MTransformation2,StatisticBasedCase,16
2,8,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,3041696968,PeakMemory,M2MTransformation2,StatisticBasedCase,16
2,8,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,1110836351,AverageMemory,M2MTransformation2,StatisticBasedCase,16
3,9,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,154023,Time,Modification,StatisticBasedCase,16
3,9,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,18002256,Memory,Modification,StatisticBasedCase,16
3,10,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,30594853074,Time,M2MTransformation2,StatisticBasedCase,16
3,10,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,19146344,Memory,M2MTransformation2,StatisticBasedCase,16
3,10,BATCH_OPTIMIZED-TEMPLATE,BasicXform,3,3042436064,PeakMemory,M2MTransformation2,StatisticBasedCase,16
