Size,MetricValue,RunIndex,Scenario,MetricName,Tool,Sequence,CaseName,PhaseName,Iteration
2,48028448,4,BasicXform,AverageMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
2,69503312,4,BasicXform,PeakMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
2,2036970,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,5,StatisticBasedCase,Modification,1
2,19012760,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,5,StatisticBasedCase,Modification,1
2,5304,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
2,19013600,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
2,29751080,4,BasicXform,AverageMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
2,40488360,4,BasicXform,PeakMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,6,StatisticBasedCase,M2MTransformation2,1
2,1245165,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,7,StatisticBasedCase,Modification,2
2,19056032,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,7,StatisticBasedCase,Modification,2
2,4679,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
2,19056872,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
2,40531632,4,BasicXform,PeakMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
2,29794352,4,BasicXform,AverageMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,8,StatisticBasedCase,M2MTransformation2,2
2,1349030,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,9,StatisticBasedCase,Modification,3
2,19128360,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,9,StatisticBasedCase,Modification,3
2,4371,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
2,19129200,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
2,29866680,4,BasicXform,AverageMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
2,40603960,4,BasicXform,PeakMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,10,StatisticBasedCase,M2MTransformation2,3
2,1328001,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,11,StatisticBasedCase,Modification,4
2,19164208,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,11,StatisticBasedCase,Modification,4
2,3849,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
2,19165072,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
2,40639832,4,BasicXform,PeakMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
