Iteration,MetricName,Scenario,Tool,PhaseName,MetricValue,RunIndex,Size,Sequence,CaseName
1,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30459629055,2,16,6,StatisticBasedCase
1,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,17150784,2,16,6,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1023250517,2,16,6,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3044514152,2,16,6,StatisticBasedCase
2,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,197976,2,16,7,StatisticBasedCase
2,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,17150872,2,16,7,StatisticBasedCase
2,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30680203529,2,16,8,StatisticBasedCase
2,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,18097136,2,16,8,StatisticBasedCase
2,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3032870424,2,16,8,StatisticBasedCase
2,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1039114576,2,16,8,StatisticBasedCase
3,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,166369,2,16,9,StatisticBasedCase
3,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,18096272,2,16,9,StatisticBasedCase
3,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30517462654,2,16,10,StatisticBasedCase
3,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,19239856,2,16,10,StatisticBasedCase
3,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1105245438,2,16,10,StatisticBasedCase
3,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3033617184,2,16,10,StatisticBasedCase
4,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,226227,2,16,11,StatisticBasedCase
4,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,19239968,2,16,11,StatisticBasedCase
4,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30580157250,2,16,12,StatisticBasedCase
4,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,20188592,2,16,12,StatisticBasedCase
4,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3021801112,2,16,12,StatisticBasedCase
4,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1118923105,2,16,12,StatisticBasedCase
5,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,181451,2,16,13,StatisticBasedCase
5,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,20188704,2,16,13,StatisticBasedCase
5,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,30625682723,2,16,14,StatisticBasedCase
5,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,21138680,2,16,14,StatisticBasedCase
5,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,3014238336,2,16,14,StatisticBasedCase
5,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,1039441418,2,16,14,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,174928,2,64,1,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,EMFResourceInitialization,10265416,2,64,1,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,69184098879,2,64,2,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Generation,1721736608,2,64,2,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,1812300935,2,64,3,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,203906184,2,64,3,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,503285720,2,64,3,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Initialization,287031064,2,64,3,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,2227508093,2,64,4,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,329898328,2,64,4,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,725181103,2,64,4,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation1,1166487128,2,64,4,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,1963830,2,64,5,StatisticBasedCase
1,Memory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,Modification,329898952,2,64,5,StatisticBasedCase
1,Time,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,M2MTransformation2,1158712037,2,64,6,StatisticBasedCase
