Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
128,5,14,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123279152,LowSynchCase,M2MTransformation2
128,5,14,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2383766745,LowSynchCase,M2MTransformation2
128,5,14,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4779402224,LowSynchCase,M2MTransformation2
64,1,1,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,340938,LowSynchCase,EMFResourceInitialization
64,1,1,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,11190688,LowSynchCase,EMFResourceInitialization
64,1,2,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4109110984,LowSynchCase,Generation
64,1,2,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,307704688,LowSynchCase,Generation
64,1,3,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,785342815,LowSynchCase,Initialization
64,1,3,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,269050032,LowSynchCase,Initialization
64,1,3,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,638951664,LowSynchCase,Initialization
64,1,3,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,359744856,LowSynchCase,Initialization
64,1,4,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1307443567,LowSynchCase,M2MTransformation1
64,1,4,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499573304,LowSynchCase,M2MTransformation1
64,1,4,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1483604608,LowSynchCase,M2MTransformation1
64,1,4,2,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,994990954,LowSynchCase,M2MTransformation1
64,1,5,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,213923,LowSynchCase,Modification
64,1,5,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499577008,LowSynchCase,Modification
64,1,6,2,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1719426876,LowSynchCase,M2MTransformation2
64,1,6,2,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,499599352,LowSynchCase,M2MTransformation2
64,1,6,2,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1868569872,LowSynchCase,M2MTransformation2
