Size,Tool,MetricValue,Scenario,RunIndex,Iteration,CaseName,MetricName,PhaseName,Sequence
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,307296896,BasicXform,2,1,LowSynchCase,Memory,Generation,2
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,754694708,BasicXform,2,1,LowSynchCase,Time,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,270541280,BasicXform,2,1,LowSynchCase,Memory,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,602346984,BasicXform,2,1,LowSynchCase,PeakMemory,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,341650080,BasicXform,2,1,LowSynchCase,AverageMemory,Initialization,3
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1347258097,BasicXform,2,1,LowSynchCase,Time,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501571984,BasicXform,2,1,LowSynchCase,Memory,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,989841682,BasicXform,2,1,LowSynchCase,AverageMemory,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1497739152,BasicXform,2,1,LowSynchCase,PeakMemory,M2MTransformation1,4
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,152578,BasicXform,2,1,LowSynchCase,Time,Modification,5
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501577000,BasicXform,2,1,LowSynchCase,Memory,Modification,5
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2100846011,BasicXform,2,1,LowSynchCase,Time,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501599344,BasicXform,2,1,LowSynchCase,Memory,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1879064736,BasicXform,2,1,LowSynchCase,PeakMemory,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1294676287,BasicXform,2,1,LowSynchCase,AverageMemory,M2MTransformation2,6
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,137677,BasicXform,2,2,LowSynchCase,Time,Modification,7
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501604424,BasicXform,2,2,LowSynchCase,Memory,Modification,7
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1709152301,BasicXform,2,2,LowSynchCase,Time,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501626432,BasicXform,2,2,LowSynchCase,Memory,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1863463384,BasicXform,2,2,LowSynchCase,PeakMemory,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1189412288,BasicXform,2,2,LowSynchCase,AverageMemory,M2MTransformation2,8
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,118982,BasicXform,2,3,LowSynchCase,Time,Modification,9
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501631856,BasicXform,2,3,LowSynchCase,Memory,Modification,9
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1911159746,BasicXform,2,3,LowSynchCase,Time,M2MTransformation2,10
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,501653976,BasicXform,2,3,LowSynchCase,Memory,M2MTransformation2,10
