PhaseName,Scenario,RunIndex,Size,CaseName,MetricName,Iteration,Tool,MetricValue,Sequence
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,PeakMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,144834400,14
M2MTransformation2,BasicXform,1,8,StatisticBasedCase,AverageMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,91147244,14
EMFResourceInitialization,BasicXform,2,16,StatisticBasedCase,Time,1,BATCH_OPTIMIZED-TEMPLATE,300507,1
EMFResourceInitialization,BasicXform,2,16,StatisticBasedCase,Memory,1,BATCH_OPTIMIZED-TEMPLATE,9521096,1
Generation,BasicXform,2,16,StatisticBasedCase,Time,1,BATCH_OPTIMIZED-TEMPLATE,4286339448,2
Generation,BasicXform,2,16,StatisticBasedCase,Memory,1,BATCH_OPTIMIZED-TEMPLATE,101228680,2
Initialization,BasicXform,2,16,StatisticBasedCase,Time,1,BATCH_OPTIMIZED-TEMPLATE,11704,3
Initialization,BasicXform,2,16,StatisticBasedCase,Memory,1,BATCH_OPTIMIZED-TEMPLATE,12239120,3
Initialization,BasicXform,2,16,StatisticBasedCase,AverageMemory,1,BATCH_OPTIMIZED-TEMPLATE,54328712,3
Initialization,BasicXform,2,16,StatisticBasedCase,PeakMemory,1,BATCH_OPTIMIZED-TEMPLATE,54328712,3
M2MTransformation1,BasicXform,2,16,StatisticBasedCase,Time,1,BATCH_OPTIMIZED-TEMPLATE,38124441656,4
M2MTransformation1,BasicXform,2,16,StatisticBasedCase,Memory,1,BATCH_OPTIMIZED-TEMPLATE,16139208,4
M2MTransformation1,BasicXform,2,16,StatisticBasedCase,PeakMemory,1,BATCH_OPTIMIZED-TEMPLATE,3245456104,4
M2MTransformation1,BasicXform,2,16,StatisticBasedCase,AverageMemory,1,BATCH_OPTIMIZED-TEMPLATE,1313906268,4
Modification,BasicXform,2,16,StatisticBasedCase,Time,1,BATCH_OPTIMIZED-TEMPLATE,264883,5
Modification,BasicXform,2,16,StatisticBasedCase,Memory,1,BATCH_OPTIMIZED-TEMPLATE,16139328,5
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Time,1,BATCH_OPTIMIZED-TEMPLATE,35718829028,6
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Memory,1,BATCH_OPTIMIZED-TEMPLATE,17184048,6
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,PeakMemory,1,BATCH_OPTIMIZED-TEMPLATE,3223474136,6
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,AverageMemory,1,BATCH_OPTIMIZED-TEMPLATE,1195973941,6
Modification,BasicXform,2,16,StatisticBasedCase,Time,2,BATCH_OPTIMIZED-TEMPLATE,202820,7
Modification,BasicXform,2,16,StatisticBasedCase,Memory,2,BATCH_OPTIMIZED-TEMPLATE,17184136,7
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Time,2,BATCH_OPTIMIZED-TEMPLATE,36817456171,8
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,Memory,2,BATCH_OPTIMIZED-TEMPLATE,18133264,8
M2MTransformation2,BasicXform,2,16,StatisticBasedCase,AverageMemory,2,BATCH_OPTIMIZED-TEMPLATE,1268195957,8
