MetricValue,CaseName,Scenario,Sequence,Iteration,Size,MetricName,Tool,PhaseName,RunIndex
2824604896,StatisticBasedCase,BasicXform,4,1,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,5
1760434508,StatisticBasedCase,BasicXform,4,1,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,5
2588161,StatisticBasedCase,BasicXform,5,1,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
1274748376,StatisticBasedCase,BasicXform,5,1,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
3991,StatisticBasedCase,BasicXform,6,1,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1274749224,StatisticBasedCase,BasicXform,6,1,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1327768664,StatisticBasedCase,BasicXform,6,1,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1327768664,StatisticBasedCase,BasicXform,6,1,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
3283520,StatisticBasedCase,BasicXform,7,2,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
1275292840,StatisticBasedCase,BasicXform,7,2,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
4426,StatisticBasedCase,BasicXform,8,2,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1275293688,StatisticBasedCase,BasicXform,8,2,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1389661816,StatisticBasedCase,BasicXform,8,2,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1337306160,StatisticBasedCase,BasicXform,8,2,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1792567,StatisticBasedCase,BasicXform,9,3,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
1275386552,StatisticBasedCase,BasicXform,9,3,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
3575,StatisticBasedCase,BasicXform,10,3,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1275387400,StatisticBasedCase,BasicXform,10,3,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1277295752,StatisticBasedCase,BasicXform,10,3,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1337399872,StatisticBasedCase,BasicXform,10,3,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,5
1841309,StatisticBasedCase,BasicXform,11,4,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,5
