RunIndex,MetricName,MetricValue,Scenario,Size,Sequence,PhaseName,CaseName,Iteration,Tool
2,AverageMemory,51978004,BasicXform,1,3,Initialization,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,94927712,BasicXform,1,3,Initialization,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,32080275,BasicXform,1,4,M2MTransformation1,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11777968,BasicXform,1,4,M2MTransformation1,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,AverageMemory,32887480,BasicXform,1,4,M2MTransformation1,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,32887480,BasicXform,1,4,M2MTransformation1,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,171488,BasicXform,1,5,Modification,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11777776,BasicXform,1,5,Modification,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,33497784,BasicXform,1,6,M2MTransformation2,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11785776,BasicXform,1,6,M2MTransformation2,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,AverageMemory,33253408,BasicXform,1,6,M2MTransformation2,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,33253408,BasicXform,1,6,M2MTransformation2,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,183802,BasicXform,1,7,Modification,StatisticBasedCase,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11785656,BasicXform,1,7,Modification,StatisticBasedCase,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,35403027,BasicXform,1,8,M2MTransformation2,StatisticBasedCase,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11794376,BasicXform,1,8,M2MTransformation2,StatisticBasedCase,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,AverageMemory,33261288,BasicXform,1,8,M2MTransformation2,StatisticBasedCase,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,54736144,BasicXform,1,8,M2MTransformation2,StatisticBasedCase,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,115051,BasicXform,1,9,Modification,StatisticBasedCase,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11794184,BasicXform,1,9,Modification,StatisticBasedCase,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,31015279,BasicXform,1,10,M2MTransformation2,StatisticBasedCase,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11801888,BasicXform,1,10,M2MTransformation2,StatisticBasedCase,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,33269816,BasicXform,1,10,M2MTransformation2,StatisticBasedCase,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,AverageMemory,33269816,BasicXform,1,10,M2MTransformation2,StatisticBasedCase,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,119485,BasicXform,1,11,Modification,StatisticBasedCase,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11801728,BasicXform,1,11,Modification,StatisticBasedCase,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,29897739,BasicXform,1,12,M2MTransformation2,StatisticBasedCase,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11810416,BasicXform,1,12,M2MTransformation2,StatisticBasedCase,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,AverageMemory,44014812,BasicXform,1,12,M2MTransformation2,StatisticBasedCase,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,54752240,BasicXform,1,12,M2MTransformation2,StatisticBasedCase,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,246182,BasicXform,1,13,Modification,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11810232,BasicXform,1,13,Modification,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,29344353,BasicXform,1,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11818152,BasicXform,1,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,PeakMemory,54760720,BasicXform,1,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,AverageMemory,44023292,BasicXform,1,14,M2MTransformation2,StatisticBasedCase,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
1,Time,285963,BasicXform,16,1,EMFResourceInitialization,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,9157216,BasicXform,16,1,EMFResourceInitialization,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,1466630264,BasicXform,16,2,Generation,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,84824728,BasicXform,16,2,Generation,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,388395483,BasicXform,16,3,Initialization,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,69315888,BasicXform,16,3,Initialization,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,PeakMemory,217808328,BasicXform,16,3,Initialization,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,AverageMemory,119707228,BasicXform,16,3,Initialization,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,347934229,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,90972592,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,PeakMemory,212840232,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,AverageMemory,151327712,BasicXform,16,4,M2MTransformation1,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,4774957,BasicXform,16,5,Modification,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,92848560,BasicXform,16,5,Modification,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,42151,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,92849432,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,PeakMemory,134822912,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,AverageMemory,113348056,BasicXform,16,6,M2MTransformation2,StatisticBasedCase,1,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,1761674,BasicXform,16,7,Modification,StatisticBasedCase,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,92893112,BasicXform,16,7,Modification,StatisticBasedCase,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,16887,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,92893984,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,PeakMemory,113392608,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,AverageMemory,113392608,BasicXform,16,8,M2MTransformation2,StatisticBasedCase,2,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,1329182,BasicXform,16,9,Modification,StatisticBasedCase,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,92930256,BasicXform,16,9,Modification,StatisticBasedCase,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,17231,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,92931128,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,PeakMemory,113429752,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,AverageMemory,113429752,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,1476448,BasicXform,16,11,Modification,StatisticBasedCase,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Memory,93033136,BasicXform,16,11,Modification,StatisticBasedCase,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
1,Time,16342,BasicXform,16,12,M2MTransformation2,StatisticBasedCase,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
