Size,Tool,Iteration,MetricValue,Scenario,Sequence,RunIndex,MetricName,CaseName,PhaseName
16,BATCH_OPTIMIZED-TEMPLATE,4,30093239193,BasicXform,12,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,4,20140600,BasicXform,12,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,4,3021275952,BasicXform,12,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,4,1189215009,BasicXform,12,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,5,179084,BasicXform,13,1,Time,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,5,20140696,BasicXform,13,1,Memory,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,5,30172227530,BasicXform,14,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,5,21092680,BasicXform,14,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,5,1269399433,BasicXform,14,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,5,3013283096,BasicXform,14,1,PeakMemory,StatisticBasedCase,M2MTransformation2
