MetricValue,CaseName,RunIndex,PhaseName,Sequence,MetricName,Scenario,Iteration,Tool,Size
219700887,StatisticBasedCase,3,M2MTransformation2,12,Time,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
12215960,StatisticBasedCase,3,M2MTransformation2,12,Memory,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
107266,StatisticBasedCase,3,Modification,13,Time,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
12216712,StatisticBasedCase,3,Modification,13,Memory,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
222796940,StatisticBasedCase,3,M2MTransformation2,14,Time,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
12223648,StatisticBasedCase,3,M2MTransformation2,14,Memory,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,1
1089173,StatisticBasedCase,2,EMFResourceInitialization,1,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
11107240,StatisticBasedCase,2,EMFResourceInitialization,1,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
271952549,StatisticBasedCase,2,Generation,2,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
19799216,StatisticBasedCase,2,Generation,2,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
3351084,StatisticBasedCase,2,Initialization,3,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
2691261301,StatisticBasedCase,2,M2MTransformation1,4,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14235880,StatisticBasedCase,2,M2MTransformation1,4,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
194313,StatisticBasedCase,2,Modification,5,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14236824,StatisticBasedCase,2,Modification,5,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
2543018546,StatisticBasedCase,2,M2MTransformation2,6,Time,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14696384,StatisticBasedCase,2,M2MTransformation2,6,Memory,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
176617,StatisticBasedCase,2,Modification,7,Time,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14697136,StatisticBasedCase,2,Modification,7,Memory,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
2840062416,StatisticBasedCase,2,M2MTransformation2,8,Time,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14704376,StatisticBasedCase,2,M2MTransformation2,8,Memory,BasicXform,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
138986,StatisticBasedCase,2,Modification,9,Time,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14705288,StatisticBasedCase,2,Modification,9,Memory,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
2569439817,StatisticBasedCase,2,M2MTransformation2,10,Time,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14712176,StatisticBasedCase,2,M2MTransformation2,10,Memory,BasicXform,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
110019,StatisticBasedCase,2,Modification,11,Time,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14713112,StatisticBasedCase,2,Modification,11,Memory,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
2608809270,StatisticBasedCase,2,M2MTransformation2,12,Time,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14720576,StatisticBasedCase,2,M2MTransformation2,12,Memory,BasicXform,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
119944,StatisticBasedCase,2,Modification,13,Time,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14721352,StatisticBasedCase,2,Modification,13,Memory,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
2640552217,StatisticBasedCase,2,M2MTransformation2,14,Time,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
14728264,StatisticBasedCase,2,M2MTransformation2,14,Memory,BasicXform,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_NO_FLAT-TEMPLATE,4
354187,StatisticBasedCase,3,EMFResourceInitialization,1,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
11143600,StatisticBasedCase,3,EMFResourceInitialization,1,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
246580374,StatisticBasedCase,3,Generation,2,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
16182232,StatisticBasedCase,3,Generation,2,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
106805206,StatisticBasedCase,3,Initialization,3,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
100577882,StatisticBasedCase,3,M2MTransformation1,4,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19598720,StatisticBasedCase,3,M2MTransformation1,4,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
533770,StatisticBasedCase,3,Modification,5,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19609096,StatisticBasedCase,3,Modification,5,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
27646985,StatisticBasedCase,3,M2MTransformation2,6,Time,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19808784,StatisticBasedCase,3,M2MTransformation2,6,Memory,BasicXform,1,INCR_VIATRA_AGGREGATED-TEMPLATE,2
448742,StatisticBasedCase,3,Modification,7,Time,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19819128,StatisticBasedCase,3,Modification,7,Memory,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,2
23611031,StatisticBasedCase,3,M2MTransformation2,8,Time,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19867280,StatisticBasedCase,3,M2MTransformation2,8,Memory,BasicXform,2,INCR_VIATRA_AGGREGATED-TEMPLATE,2
449276,StatisticBasedCase,3,Modification,9,Time,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19877856,StatisticBasedCase,3,Modification,9,Memory,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,2
23798261,StatisticBasedCase,3,M2MTransformation2,10,Time,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19934152,StatisticBasedCase,3,M2MTransformation2,10,Memory,BasicXform,3,INCR_VIATRA_AGGREGATED-TEMPLATE,2
512500,StatisticBasedCase,3,Modification,11,Time,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,2
19977680,StatisticBasedCase,3,Modification,11,Memory,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,2
22320128,StatisticBasedCase,3,M2MTransformation2,12,Time,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,2
20014200,StatisticBasedCase,3,M2MTransformation2,12,Memory,BasicXform,4,INCR_VIATRA_AGGREGATED-TEMPLATE,2
454729,StatisticBasedCase,3,Modification,13,Time,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,2
20025096,StatisticBasedCase,3,Modification,13,Memory,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,2
20658064,StatisticBasedCase,3,M2MTransformation2,14,Time,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,2
20061208,StatisticBasedCase,3,M2MTransformation2,14,Memory,BasicXform,5,INCR_VIATRA_AGGREGATED-TEMPLATE,2
466740,StatisticBasedCase,4,EMFResourceInitialization,1,Time,BasicXform,1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,64
11784232,StatisticBasedCase,4,EMFResourceInitialization,1,Memory,BasicXform,1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,64
86956852971,StatisticBasedCase,4,Generation,2,Time,BasicXform,1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,64
3446902504,StatisticBasedCase,4,Generation,2,Memory,BasicXform,1,BATCH_VIATRA_TRANSFORMATION-TEMPLATE,64
