MetricName,Iteration,Size,Scenario,PhaseName,CaseName,MetricValue,RunIndex,Tool,Sequence
AverageMemory,4,16,BasicXform,M2MTransformation2,StatisticBasedCase,196713276,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
PeakMemory,4,16,BasicXform,M2MTransformation2,StatisticBasedCase,322838224,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
Time,5,16,BasicXform,Modification,StatisticBasedCase,172549,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13
Memory,5,16,BasicXform,Modification,StatisticBasedCase,28553880,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13
Time,5,16,BasicXform,M2MTransformation2,StatisticBasedCase,244620958,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
Memory,5,16,BasicXform,M2MTransformation2,StatisticBasedCase,28561448,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
PeakMemory,5,16,BasicXform,M2MTransformation2,StatisticBasedCase,322846328,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
AverageMemory,5,16,BasicXform,M2MTransformation2,StatisticBasedCase,196721300,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
Time,1,16,BasicXform,EMFResourceInitialization,StatisticBasedCase,146624,2,BATCH_OPTIMIZED-TEMPLATE,1
Memory,1,16,BasicXform,EMFResourceInitialization,StatisticBasedCase,11195872,2,BATCH_OPTIMIZED-TEMPLATE,1
Time,1,16,BasicXform,Generation,StatisticBasedCase,3195649531,2,BATCH_OPTIMIZED-TEMPLATE,2
Memory,1,16,BasicXform,Generation,StatisticBasedCase,193634264,2,BATCH_OPTIMIZED-TEMPLATE,2
Time,1,16,BasicXform,Initialization,StatisticBasedCase,33433,2,BATCH_OPTIMIZED-TEMPLATE,3
Memory,1,16,BasicXform,Initialization,StatisticBasedCase,13894272,2,BATCH_OPTIMIZED-TEMPLATE,3
AverageMemory,1,16,BasicXform,Initialization,StatisticBasedCase,34929480,2,BATCH_OPTIMIZED-TEMPLATE,3
PeakMemory,1,16,BasicXform,Initialization,StatisticBasedCase,55964488,2,BATCH_OPTIMIZED-TEMPLATE,3
Time,1,16,BasicXform,M2MTransformation1,StatisticBasedCase,35692456689,2,BATCH_OPTIMIZED-TEMPLATE,4
