Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,EMFResourceInitialization,1,11083336,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Generation,2,546207812,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Generation,2,49708920,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Initialization,3,155077309,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Initialization,3,54188608,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Initialization,3,100834480,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Initialization,3,68606440,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation1,4,357816257,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation1,4,87808960,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation1,4,172357644,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation1,4,269041816,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,5,178694,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,5,87749408,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,6,333637051,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,6,87835144,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,6,324089000,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,6,216662144,LowSynchCase,AverageMemory
