Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
3,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Initialization,PeakMemory,64,2414076416
3,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Initialization,AverageMemory,64,1262457468
4,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,Time,64,737516097
4,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,Memory,64,1015404368
4,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,PeakMemory,64,1325103392
4,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,AverageMemory,64,1172694836
5,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Time,64,1211652
5,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Memory,64,1015417520
6,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,64,777027935
6,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,64,1016745736
6,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,64,1226699308
6,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,64,1391044448
7,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Time,64,796826
7,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Memory,64,1016783832
8,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,64,698123554
8,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,64,1016781456
8,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,64,1227996376
8,2,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,64,1440318048
9,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Time,64,864257
9,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Memory,64,1016791584
10,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,64,677608434
10,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,64,1016800504
10,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,64,1228003864
10,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,64,1392279496
11,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Time,64,797691
11,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Modification,Memory,64,1016811216
12,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,64,693574351
