Tool,MetricName,CaseName,RunIndex,PhaseName,Sequence,MetricValue,Size,Scenario,Iteration
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,12,36776853368,16,BasicXform,4
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,12,20225952,16,BasicXform,4
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,12,1120206600,16,BasicXform,4
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,12,3384136048,16,BasicXform,4
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Modification,13,229479,16,BasicXform,5
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Modification,13,20226064,16,BasicXform,5
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,14,36346065034,16,BasicXform,5
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,14,21177448,16,BasicXform,5
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,14,3382033040,16,BasicXform,5
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,14,1034839912,16,BasicXform,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,EMFResourceInitialization,1,239057,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,EMFResourceInitialization,1,9530608,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,Generation,2,149698957,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,Generation,2,11482328,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,Initialization,3,76726583,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,Initialization,3,12135432,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,2,Initialization,3,52713304,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,2,Initialization,3,95663016,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation1,4,74891270,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation1,4,12698536,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation1,4,87298200,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation1,4,55085812,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,Modification,5,247630,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,Modification,5,12698312,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,6,45532860,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,6,12702864,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,6,44911376,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,6,77123664,2,BasicXform,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,Modification,7,163743,2,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory,StatisticBasedCase,2,Modification,7,12702664,2,BasicXform,2
BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,8,42862065,2,BasicXform,2
