CaseName,PhaseName,Tool,Scenario,MetricValue,MetricName,Sequence,Iteration,Size,RunIndex
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,554032248,PeakMemory,8,2,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,522340064,AverageMemory,8,2,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,2095456,Time,9,3,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490672304,Memory,9,3,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,3968,Time,10,3,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490673184,Memory,10,3,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,554057752,PeakMemory,10,3,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,522365568,AverageMemory,10,3,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,1854784,Time,11,4,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490699232,Memory,11,4,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,4130,Time,12,4,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490700136,Memory,12,4,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,522392520,AverageMemory,12,4,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,554084704,PeakMemory,12,4,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,1613384,Time,13,5,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490725480,Memory,13,5,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,4037,Time,14,5,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490726360,Memory,14,5,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,522418744,AverageMemory,14,5,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,554110928,PeakMemory,14,5,32,5
StatisticBasedCase,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE,BasicXform,536872,Time,1,1,2,5
StatisticBasedCase,EMFResourceInitialization,BATCH_OPTIMIZED-TEMPLATE,BasicXform,9276416,Memory,1,1,2,5
StatisticBasedCase,Generation,BATCH_OPTIMIZED-TEMPLATE,BasicXform,115350672,Time,2,1,2,5
StatisticBasedCase,Generation,BATCH_OPTIMIZED-TEMPLATE,BasicXform,11090976,Memory,2,1,2,5
StatisticBasedCase,Initialization,BATCH_OPTIMIZED-TEMPLATE,BasicXform,19657,Time,3,1,2,5
StatisticBasedCase,Initialization,BATCH_OPTIMIZED-TEMPLATE,BasicXform,9515560,Memory,3,1,2,5
StatisticBasedCase,Initialization,BATCH_OPTIMIZED-TEMPLATE,BasicXform,30989952,PeakMemory,3,1,2,5
StatisticBasedCase,Initialization,BATCH_OPTIMIZED-TEMPLATE,BasicXform,20252856,AverageMemory,3,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,575440749,Time,4,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,9915816,Memory,4,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,997367816,PeakMemory,4,1,2,5
StatisticBasedCase,M2MTransformation1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,514179340,AverageMemory,4,1,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,121455,Time,5,1,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,9915904,Memory,5,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,428330185,Time,6,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10035536,Memory,6,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1040259512,PeakMemory,6,1,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,524859616,AverageMemory,6,1,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,90056,Time,7,2,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10035624,Memory,7,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,399849919,Time,8,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10161912,Memory,8,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1011702136,PeakMemory,8,2,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,521303172,AverageMemory,8,2,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,79772,Time,9,3,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10162000,Memory,9,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,406764427,Time,10,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10277680,Memory,10,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,519013044,AverageMemory,10,3,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1007094144,PeakMemory,10,3,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,107344,Time,11,4,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10277792,Memory,11,4,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,424498757,Time,12,4,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10418744,Memory,12,4,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1024803224,PeakMemory,12,4,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,527893080,AverageMemory,12,4,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,77625,Time,13,5,2,5
StatisticBasedCase,Modification,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10418832,Memory,13,5,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,406855441,Time,14,5,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,10536072,Memory,14,5,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,527123316,AverageMemory,14,5,2,5
StatisticBasedCase,M2MTransformation2,BATCH_OPTIMIZED-TEMPLATE,BasicXform,1023159064,PeakMemory,14,5,2,5
StatisticBasedCase,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,568834,Time,1,1,8,1
StatisticBasedCase,EMFResourceInitialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,9598888,Memory,1,1,8,1
StatisticBasedCase,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,1087861859,Time,2,1,8,1
StatisticBasedCase,Generation,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,32714896,Memory,2,1,8,1
StatisticBasedCase,Initialization,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,BasicXform,22304917,Time,3,1,8,1
